"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"GEORGIA COLLEGE AND STATE UNIVERSITY","_001602","GA","MILLEDGEVILLE","06/29/2005","$6.50","$5.00"
"GEORGIA GWINNETT COLLEGE","_041429","GA","LAWRENCEVILLE","12/07/2011","$6.50","$5.00"
"GEORGIA HEALTH SCIENCES UNIVERSITY","_001579","GA","AUGUSTA","01/15/2003","$9.00","$7.50"
"GEORGIA HIGHLANDS COLLEGE","_009507","GA","ROME","10/16/2003","$6.50","$5.00"
"GEORGIA INSTITUTE OF TECHNOLOGY","_001569","GA","ATLANTA","08/03/2007","$11.50","$10.00"
"GEORGIA MILITARY COLLEGE","_001571","GA","MILLEDGEVILLE","12/04/2008","$6.50","$5.00"
"GEORGIA NORTHWESTERN TECHNICAL COLLEGE","_004024","GA","ROME","06/14/2007","$6.50","$5.00"
"GEORGIA PERIMETER COLLEGE","_001562","GA","DECATUR","08/29/2007","$6.50","$5.00"
"GEORGIA PIEDMONT TECHNICAL COLLEGE","_005622","GA","CLARKSTON","06/19/2007","$6.50","$5.00"
"GEORGIA SOUTHERN UNIVERSITY","_001572","GA","STATESBORO","12/13/2001","$6.50","$5.00"
"GEORGIA SOUTHWESTERN STATE UNIVERSITY","_001573","GA","AMERICUS","01/29/2004","$6.50","$5.00"
"GEORGIA STATE UNIVERSITY","_001574","GA","ATLANTA","12/08/2003","$6.50","$5.00"
"GEORGIA TECH","_001569","GA","ATLANTA","08/03/2007","$11.50","$10.00"
"GERMANNA COMMUNITY COLLEGE","_008660","VA","LOCUST GROVE","11/05/2008","$6.50","$5.00"
"GETTYSBURG COLLEGE","_003268","PA","GETTYSBURG","03/09/2006","$6.50","$5.00"
"GILLETTE COLLEGE","_003930","WY","SHERIDAN","10/21/2009","$6.50","$5.00"
"GLEN OAKS COMMUNITY COLLEGE","_002263","MI","CENTREVILLE","07/27/2011","$6.50","$5.00"
"GLENDALE COMMUNITY COLLEGE","_001076","AZ","GLENDALE","11/04/2009","$6.50","$5.00"
"GLENVILLE STATE COLLEGE","_003813","WV","GLENVILLE","12/24/2003","$6.50","$5.00"
"GLOUCESTER COUNTY COLLEGE","_006901","NJ","SEWELL","03/17/2005","$6.50","$5.00"
"GMI ENGINEERING & MANAGEMENT INSTITUTE (FORMERLY)","_002262","MI","FLINT","05/06/2011","$6.50","$5.00"
"GOLDEN GATE UNIVERSITY","_001205","CA","SAN FRANCISCO","07/18/2005","$16.50","$15.00"
"GOLDEN WEST COLLEGE","_001206","CA","HUNTINGTON BEACH","02/15/2011","$6.50","$5.00"
"GONZAGA UNIVERSITY","_003778","WA","SPOKANE","10/07/2003","$9.50","$8.00"
"GORDON COLLEGE","_001575","GA","BARNESVILLE","10/02/2007","$6.50","$5.00"
"GORDON COLLEGE","_002153","MA","WENHAM","12/10/2010","$7.00","$5.50"
"GORDON COLLEGE OF MASSECHUSETTS","_002153","MA","WENHAM","12/10/2010","$7.00","$5.50"
"GORDON-CONWELL THEOLOGICAL - HAMILTON","_009747","MA","SOUTH HAMILTON","04/03/2006","$6.50","$5.00"
"GORDON-CONWELL THEOLOGICAL SEMINARY - BOSTON","_009747","MA","SOUTH HAMILTON","04/03/2006","$6.50","$5.00"
"GORDON-CONWELL THEOLOGICAL SEMINARY - CHARLOTTE","_009747","MA","SOUTH HAMILTON","04/03/2006","$6.50","$5.00"
"GORDON-CONWELL THEOLOGICAL SEMINARY - SOUTH HAMILTON","_009747","MA","SOUTH HAMILTON","04/03/2006","$6.50","$5.00"
"GORHAM NORMAL SCHOOL","_002054","ME","GORHAM","03/02/2010","$8.00","$6.50"
"GOSHEN COLLEGE","_001799","IN","GOSHEN","03/06/2003","$6.50","$5.00"
"GOSHEN COUNTY COMMUNITY COLLEGE","_003929","WY","TORRINGTON","05/13/2008","$6.50","$5.00"
"GOUCHER COLLEGE","_002073","MD","BALTIMORE","08/25/2011","$6.50","$5.00"
"GOVERNORS STATE UNIVERSITY","_009145","IL","UNIVERSITY PARK","04/21/2004","$6.50","$5.00"
"GRACE BIBLE INSTITUTE","_002547","NE","OMAHA","06/29/2009","$7.50","$6.00"
"GRACE COLLEGE AND THEOLOGICAL SEMINARY","_001800","IN","WINONA LAKE","08/28/2009","$6.50","$5.00"
"GRACE COLLEGE OF THE BIBLE","_002547","NE","OMAHA","06/29/2009","$7.50","$6.00"
"GRACE UNIVERSITY","_002547","NE","OMAHA","06/29/2009","$7.50","$6.00"
"GRACELAND COLLEGE","_001866","IA","LAMONI","09/15/2006","$9.50","$8.00"
"GRACELAND UNIVERSITY","_001866","IA","LAMONI","09/15/2006","$9.50","$8.00"
"GRACELAND UNIVERSITY - INDEPENDENCE, MISSOURI CAMPUS","_001866","IA","LAMONI","09/15/2006","$9.50","$8.00"
"GRADUATE CENTER","_004765","NY","NEW YORK","01/17/2002","$6.50","$5.00"
"GRAMBLING COLLEGE","_002006","LA","GRAMBLING","01/26/2007","$6.50","$5.00"
"GRAMBLING STATE UNIVERSITY","_002006","LA","GRAMBLING","01/26/2007","$6.50","$5.00"
"GRAND CANYON UNIVERSITY","_001074","AZ","PHOENIX","06/30/2003","$6.50","$5.00"
"GRAND RAPIDS COMMUNITY COLLEGE","_002267","MI","GRAND RAPIDS","10/21/2002","$6.50","$5.00"
"GRAND RAPIDS JUNIOR COLLEGE","_002267","MI","GRAND RAPIDS","10/21/2002","$6.50","$5.00"
"GRANITE STATE COLLEGE","_031013","NH","CONCORD","02/28/2003","$6.50","$5.00"
"GRAYS HARBOR COLLEGE","_003779","WA","ABERDEEN","06/05/2006","$8.50","$7.00"
"GRAYS HARBOR COMMUNITY COLLEGE","_003779","WA","ABERDEEN","06/05/2006","$8.50","$7.00"
"GRAYSON COUNTY COLLEGE","_003570","TX","DENISON","10/02/2002","$6.50","$5.00"
"GREAT BASIN COLLEGE","_006977","NV","ELKO","07/06/2004","$6.50","$5.00"
"GREAT BASIN COMMUNITY COLLEGE","_006977","NV","ELKO","07/06/2004","$6.50","$5.00"
"GREAT BAY COMMUNITY COLLEGE","_002583","NH","STRATHAM","04/10/2008","$6.50","$5.00"
"GREAT FALLS VOCATIONAL TECHNICAL CENTER","_009314","MT","GREAT FALLS","08/01/2007","$6.50","$5.00"
"GREAT LAKES JR. COLLEGE (FORMERLY SAGINAW BUSINESS INST)","_002249","MI","GRAND RAPIDS","11/14/2011","$6.50","$5.00"
"GREAT OAKS INSTITUTE OF TECHNOLOGY AND CAREER DEV","_021173","OH","CINCINNATI","12/13/2011","$6.50","$5.00"
"GREATER HARTFORD COMMUNITY COLLEGE","_007635","CT","HARTFORD","09/20/2001","$6.50","$5.00"
"GREEN RIVER COMMUNITY COLLEGE","_003780","WA","AUBURN","05/16/2001","$6.50","$5.00"
"GREENFIELD COMMUNITY COLLEGE","_002169","MA","GREENFIELD","05/03/2006","$6.50","$5.00"
"GREENVILLE TECHNICAL COLLEGE","_003991","SC","GREENVILLE","02/27/2007","$9.50","$8.00"
"GRIFFIN TECHNICAL COLLEGE","_005621","GA","GRIFFIN","06/19/2007","$6.50","$5.00"
"GRIFFIN TECHNICAL INSTITUTE","_005621","GA","GRIFFIN","06/19/2007","$6.50","$5.00"
"GRIFFIN-SPALDING AREA VOCATIONAL-TECHNICAL SCHOOL","_005621","GA","GRIFFIN","06/19/2007","$6.50","$5.00"
"GRINNELL COLLEGE","_001868","IA","GRINNELL","12/12/2003","$6.50","$5.00"
"GROVE CITY COLLEGE","_003269","PA","GROVE CITY","03/19/2009","$6.50","$5.00"
"GUILFORD COLLEGE","_002931","NC","GREENSBORO","03/29/2001","$6.50","$5.00"
"GUILFORD TECHNICAL COMMUNITY COLLEGE","_004838","NC","JAMESTOWN","06/17/2008","$6.50","$5.00"
"GUILFORD TECHNICAL INSTITUTE","_004838","NC","JAMESTOWN","06/17/2008","$6.50","$5.00"
"GULF COAST COMMUNITY COLLEGE","_001490","FL","PANAMA CITY","12/12/2005","$6.50","$5.00"
"GULF COAST JUNIOR COLLEGE","_001490","FL","PANAMA CITY","12/12/2005","$6.50","$5.00"
"GULF COAST STATE COLLEGE","_001490","FL","PANAMA CITY","12/12/2005","$6.50","$5.00"
"GWINNETT TECHNICAL COLLEGE","_022884","GA","LAWRENCEVILLE","06/19/2007","$6.50","$5.00"
"GWYNEDD-MERCY COLLEGE","_003270","PA","GWYNEDD VALLEY","10/24/2011","$11.50","$10.00"
"HAGERSTOWN COMMUNITY COLLEGE","_002074","MD","HAGERSTOWN","12/16/2005","$6.50","$5.00"
"HAGERSTOWN JUNIOR COLLEGE","_002074","MD","HAGERSTOWN","12/16/2005","$6.50","$5.00"
"HAHNEMANN UNIVERSITY","_003256","PA","PHILADELPHIA","11/30/2007","$10.50","$9.00"
"HALIFAX COMMUNITY COLLEGE","_007986","NC","WELDON","09/11/2009","$6.50","$5.00"
"HAMILTON COLLEGE","_002728","NY","CLINTON","12/10/2003","$6.50","$5.00"
"HAMLINE UNIVERSITY","_002354","MN","ST PAUL","07/12/2007","$7.50","$6.00"
"HAMLINE UNIVERSITY SCHOOL OF LAW","_002354","MN","ST PAUL","07/12/2007","$7.50","$6.00"
"HAMPDEN-SYDNEY COLLEGE","_003713","VA","HAMPDEN-SYDNEY","07/26/2007","$6.50","$5.00"
"HAMPSHIRE COLLEGE","_004661","MA","AMHERST","04/18/2008","$6.50","$5.00"
"HAMPTON JUNIOR COLLEGE","_001471","FL","OCALA","01/14/2011","$6.50","$5.00"
"HARCUM COLLEGE","_003272","PA","BRYN MAWR","10/19/2011","$6.50","$5.00"
"HARDIN-SIMMONS UNIVERSITY","_003571","TX","ABILENE","04/16/2002","$6.50","$5.00"
"HARDING COLLEGE","_001097","AR","SEARCY","09/17/2004","$6.50","$5.00"
"HARDING UNIVERSITY","_001097","AR","SEARCY","09/17/2004","$6.50","$5.00"
"HARFORD COMMUNITY COLLEGE","_002075","MD","BEL AIR","10/28/2002","$6.50","$5.00"
"HARFORD JUNIOR COLLEGE","_002075","MD","BEL AIR","10/28/2002","$6.50","$5.00"
"HAROLD WASHINGTON COLLEGE - CITY COLLEGES OF CHICAGO","_001652","IL","CHICAGO","01/30/2004","$6.50","$5.00"
"HARPER COLLEGE","_003961","IL","PALATINE","09/08/2004","$6.50","$5.00"
"HARRISBURG AREA COMMUNITY COLLEGE","_003273","PA","HARRISBURG","06/22/2005","$6.50","$5.00"
