"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"STATE UNIVERSITY OF NEW YORK WESTCHESTER COMMUNITY COLLEGE","_002881","NY","VALHALLA","08/21/2003","$6.50","$5.00"
"STATE UNIVERSITY OF WEST GEORGIA","_001601","GA","CARROLLTON","03/01/2006","$8.50","$7.00"
"STEPHEN F. AUSTIN STATE UNIVERSITY","_003624","TX","NACOGDOCHES","01/11/2005","$6.50","$5.00"
"STETSON UNIVERSITY","_001531","FL","DELAND","07/02/2009","$9.50","$8.00"
"STONEHILL COLLEGE","_002217","MA","EASTON","06/07/2004","$6.50","$5.00"
"STONY BROOK UNIVERSITY","_002838","NY","STONY BROOK","03/11/2004","$10.00","$8.50"
"SUFFOLK UNIVERSITY","_002218","MA","BOSTON","06/04/2004","$6.50","$5.00"
"SUL ROSS STATE UNIVERSITY","_003625","TX","ALPINE","11/19/2002","$6.50","$5.00"
"SULLIVAN COUNTY COMMUNITY COLLEGE","_002879","NY","LOCH SHELDRAKE","10/21/2009","$6.50","$5.00"
"SUMTER AREA TECHNICAL COLLEGE","_003995","SC","SUMTER","11/19/2001","$6.50","$5.00"
"SUNY - ADIRONDACK COMMUNITY COLLEGE","_002860","NY","QUEENSBURY","12/04/2008","$6.50","$5.00"
"SUNY - COLLEGE OF TECHNOLOGY AT DELHI","_002857","NY","DELHI","08/24/2006","$6.50","$5.00"
"SUNY BINGHAMTON","_002836","NY","BINGHAMTON","10/13/2000","$6.50","$5.00"
"SUNY BROOME COMMUNITY COLLEGE","_002862","NY","BINGHAMTON","09/17/2001","$6.50","$5.00"
"SUNY CAYUGA COUNTY COMMUNITY COLLEGE","_002861","NY","AUBURN","09/12/2001","$6.50","$5.00"
"SUNY COLLEGE AT BROCKPORT","_002841","NY","BROCKPORT","04/01/2005","$6.50","$5.00"
"SUNY COLLEGE AT OLD WESTBURY","_007109","NY","OLD WESTBURY","04/24/2003","$9.00","$7.50"
"SUNY COLLEGE AT ONEONTA","_002847","NY","ONEONTA","04/15/2002","$6.50","$5.00"
"SUNY COLLEGE AT POTSDAM","_002850","NY","POTSDAM","03/28/2003","$6.50","$5.00"
"SUNY COLLEGE AT PURCHASE","_006791","NY","PURCHASE","05/04/2009","$6.50","$5.00"
"SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT DELHI","_002857","NY","DELHI","08/24/2006","$6.50","$5.00"
"SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY (NON-MEDICAL)","_002851","NY","SYRACUSE","04/24/2002","$6.50","$5.00"
"SUNY COLLEGE OF TECHNOLOGY @ DELHI","_002857","NY","DELHI","08/24/2006","$6.50","$5.00"
"SUNY COLLEGE PLATTSBURGH","_002849","NY","PLATTSBURGH","08/14/2003","$8.50","$7.00"
"SUNY COLLEGE, CORTLAND","_002843","NY","CORTLAND","12/04/2002","$6.50","$5.00"
"SUNY COLUMBIA-GREENE COMMUNITY COLLEGE","_006789","NY","HUDSON","04/13/2006","$6.50","$5.00"
"SUNY CORNING COMMUNITY COLLEGE","_002863","NY","CORNING","05/02/2008","$6.50","$5.00"
"SUNY CORTLAND","_002843","NY","CORTLAND","12/04/2002","$6.50","$5.00"
"SUNY DOWNSTATE MEDICAL CENTER","_002839","NY","BROOKLYN","04/26/2011","$6.50","$5.00"
"SUNY DUTCHESS COMMUNITY COLLEGE","_002864","NY","POUGHKEEPSIE","10/08/2003","$6.50","$5.00"
"SUNY FASHION INSTITUTE OF TECHNOLOGY","_002866","NY","NEW YORK","03/27/2008","$6.50","$5.00"
"SUNY FREDONIA","_002844","NY","FREDONIA","08/09/2005","$6.50","$5.00"
"SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE","_002867","NY","JOHNSTOWN","08/09/2005","$6.50","$5.00"
"SUNY GENESEE COMMUNITY COLLEGE","_006782","NY","BATAVIA","12/15/2009","$6.50","$5.00"
"SUNY GENESEO","_002845","NY","GENESEO","05/13/2002","$6.50","$5.00"
"SUNY HEALTH SCIENCE CENTER AT BROOKLYN (ALSO KNOWN AS SUNY DOWNSTATE MED CTR)","_002839","NY","BROOKLYN","04/26/2011","$6.50","$5.00"
"SUNY HEALTH SCIENCE CENTER AT SYRACUSE","_002840","NY","SYRACUSE","02/08/2007","$8.50","$7.00"
"SUNY JAMESTOWN COMMUNITY COLLEGE","_002869","NY","JAMESTOWN","09/06/2006","$6.50","$5.00"
"SUNY JEFFERSON COMMUNITY COLLEGE","_002870","NY","WATERTOWN","07/08/2002","$6.50","$5.00"
"SUNY MOHAWK VALLEY COMMUNITY COLLEGE","_002871","NY","UTICA","10/04/2011","$6.50","$5.00"
"SUNY NASSAU COUNTY COMMUNITY COLLEGE","_002873","NY","GARDEN CITY","03/31/2011","$6.50","$5.00"
"SUNY NEW PALTZ","_002846","NY","NEW PALTZ","11/24/2008","$6.50","$5.00"
"SUNY NIAGARA COUNTY COMMUNITY COLLEGE","_002874","NY","SANBORN","12/20/2001","$6.50","$5.00"
"SUNY ONONDAGA COMMUNITY COLLEGE","_002875","NY","SYRACUSE","02/20/2009","$6.50","$5.00"
"SUNY ORANGE COUNTY COMMUNITY COLLEGE","_002876","NY","MIDDLETON","12/09/2008","$6.50","$5.00"
"SUNY OSWEGO","_002848","NY","OSWEGO","08/24/2001","$9.50","$8.00"
"SUNY PLATTSBURGH STATE UNIVERSITY","_002849","NY","PLATTSBURGH","08/14/2003","$8.50","$7.00"
"SUNY POTSDAM","_002850","NY","POTSDAM","03/28/2003","$6.50","$5.00"
"SUNY ROCKLAND COMMUNITY COLLEGE","_002877","NY","SUFFERN","03/26/2009","$6.50","$5.00"
"SUNY SCHENECTADY COUNTY","_006785","NY","SCHENECTADY","10/05/2009","$6.50","$5.00"
"SUNY STONY BROOK","_002838","NY","STONY BROOK","03/11/2004","$10.00","$8.50"
"SUNY STONY BROOK UNIVERSITY","_002838","NY","STONY BROOK","03/11/2004","$10.00","$8.50"
"SUNY SULLIVAN COUNTY COMMUNITY COLLEGE","_002879","NY","LOCH SHELDRAKE","10/21/2009","$6.50","$5.00"
"SUNY UPSTATE MEDICAL UNIVERSITY","_002840","NY","SYRACUSE","02/08/2007","$8.50","$7.00"
"SUNY WESTCHESTER COMMUNITY COLLEGE","_002881","NY","VALHALLA","08/21/2003","$6.50","$5.00"
"SUSSEX COUNTY COMMUNITY COLLEGE","_025688","NJ","NEWTON","07/13/2005","$6.50","$5.00"
"SWAINSBORO TECHNICAL COLLEGE","_030665","GA","VIDALIA","06/15/2007","$6.50","$5.00"
"SWARTHMORE COLLEGE","_003370","PA","SWARTHMORE","03/04/2003","$6.50","$5.00"
"SWEET BRIAR COLLEGE","_003742","VA","SWEET BRIAR","01/06/2004","$6.50","$5.00"
"SYRACUSE UNIVERSITY","_002882","NY","SYRACUSE","07/19/2004","$11.50","$10.00"
"TABOR COLLEGE","_001946","KS","HILLSBORO","04/01/2010","$6.50","$5.00"
"TALLADEGA COLLEGE","_001046","AL","TALLADEGA","07/14/2004","$6.50","$5.00"
"TALLAHASSEE COMMUNITY COLLEGE","_001533","FL","TALLAHASSEE","08/19/2009","$6.50","$5.00"
"TANANA VALLEY COMMUNITY COLLEGE","_001063","AK","FAIRBANKS","12/09/2002","$6.50","$5.00"
"TARLETON STATE COLLEGE","_003631","TX","STEPHENVILLE","02/19/2009","$6.50","$5.00"
"TARLETON STATE UNIVERSITY","_003631","TX","STEPHENVILLE","02/19/2009","$6.50","$5.00"
"TARRANT COUNTY COLLEGE","_003626","TX","FORT WORTH","10/07/2010","$6.50","$5.00"
"TECHNICAL COLLEGE OF THE LOWCOUNTRY","_009910","SC","BEAUFORT","02/22/2007","$6.50","$5.00"
"TELLAMOOK BAY COMMUNITY COLLEGE","_003213","OR","PORTLAND","01/28/2002","$11.50","$10.00"
"TEMPLE COLLEGE","_003627","TX","TEMPLE","04/25/2006","$6.50","$5.00"
"TEMPLE UNIVERSITY","_003371","PA","PHILADELPHIA","04/18/2002","$14.50","$13.00"
"TENNESSEE POLYTECHNIC INSTITUTE","_003523","TN","COOKEVILLE","07/27/2009","$6.50","$5.00"
"TENNESSEE STATE UNIVERSITY","_003522","TN","NASHVILLE","05/01/2002","$6.50","$5.00"
"TENNESSEE TECHNOLOGICAL UNIVERSITY","_003523","TN","COOKEVILLE","07/27/2009","$6.50","$5.00"
"TENNESSEE WESLEYAN COLLEGE","_003525","TN","ATHENS","10/28/2011","$6.50","$5.00"
"TEXAS A&I UNIVERSITY","_003639","TX","KINGSVILLE","03/24/2003","$6.50","$5.00"
"TEXAS A&M HEALTH SCIENCE CENTER","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M HEALTH SCIENCES","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIV HSC GRAD SCHOOL BIOMEDICAL SCIENCES","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIV SYS HEALTH SCI- COLLEGE OF MEDICINE","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIV SYS HEALTH SCI- SCHOOL OF RURAL PUBLIC HEALTH","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIVERSITY","_003632","TX","COLLEGE STATION","12/13/2001","$12.00","$10.50"
"TEXAS A&M UNIVERSITY - COMMERCE","_003565","TX","COMMERCE","12/21/2006","$6.50","$5.00"
"TEXAS A&M UNIVERSITY - GALVESTON","_003632","TX","COLLEGE STATION","12/13/2001","$12.00","$10.50"
"TEXAS A&M UNIVERSITY - MEDICAL","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIVERSITY - VETERINARY","_003632","TX","COLLEGE STATION","12/13/2001","$12.00","$10.50"
"TEXAS A&M UNIVERSITY BAYLOR COLLEGE OF DENISTRY","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIVERSITY SYSTEM HEALTH SCIENCE CENTER","_004948","TX","COLLEGE STATION","12/15/2006","$6.50","$5.00"
"TEXAS A&M UNIVERSITY-KINGSVILLE","_003639","TX","KINGSVILLE","03/24/2003","$6.50","$5.00"
"TEXAS CHRISTIAN UNIVERSITY","_003636","TX","FORT WORTH","04/11/2003","$6.50","$5.00"
"TEXAS LUTHERAN UNIVERSITY","_003641","TX","SEGUIN","04/22/2003","$6.50","$5.00"
"TEXAS SOUTHERN UNIVERSITY","_003642","TX","HOUSTON","04/01/2010","$6.50","$5.00"
"TEXAS STATE COLLEGE FOR WOMEN","_003646","TX","DENTON","07/11/2006","$6.50","$5.00"
"TEXAS STATE UNIVERSITY - SAN MARCOS","_003615","TX","SAN MARCOS","05/04/2005","$6.50","$5.00"
"TEXAS TECH UNIVERSITY","_003644","TX","LUBBOCK","04/03/2002","$6.50","$5.00"
"TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER","_010674","TX","LUBBOCK","04/03/2002","$11.50","$10.00"
"TEXAS WOMAN'S UNIVERSITY","_003646","TX","DENTON","07/11/2006","$6.50","$5.00"
"TEXTILE INDUSTRIAL INSTITUTE","_003447","SC","SPARTANBURG","08/11/2010","$6.50","$5.00"
"THADDEUS STEVENS COLLEGE OF TECHNOLOGY","_007912","PA","LANCASTER","02/26/2009","$7.00","$5.50"
"THADDEUS STEVENS STATE SCHOOL OF TECHNOLOGY","_007912","PA","LANCASTER","02/26/2009","$7.00","$5.50"
"THADDEUS STEVENS TRADE SCHOOL","_007912","PA","LANCASTER","02/26/2009","$7.00","$5.50"
"THAMES VALLEY STATE TECHNICAL COLLEGE","_009765","CT","NORWICH","09/07/2001","$6.50","$5.00"
"THE BOWMAN GRAY SCHOOL OF MEDICINE","_002978","NC","WINSTON-SALEM","10/04/2007","$6.50","$5.00"
"THE CATHOLIC UNIVERSITY OF AMERICA","_001437","DC","WASHINGTON","06/14/2007","$6.50","$5.00"
"THE CHRIST COLLEGE OF NURSING & HEALTH SCIENCES","_006489","OH","CINCINNATI","05/26/2011","$9.00","$7.50"
"THE CITADEL MILITARY COLLEGE OF SOUTH CAROLINA","_003423","SC","CHARLESTON","12/16/2005","$6.50","$5.00"
"THE CITY COLLEGE OF NEW YORK","_002688","NY","NEW YORK","02/22/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - BERNARD M. BARUCH COLLEGE","_007273","NY","NEW YORK","12/14/2001","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - BOROUGH OF MANHATTAN COMMUNITY COLLEGE","_002691","NY","NEW YORK","12/10/2001","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - BRONX COMMUNITY COLLEGE","_002692","NY","NEW YORK","06/06/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - BROOKLYN COLLEGE","_002687","NY","BROOKLYN","03/26/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - CITY COLLEGE","_002688","NY","NEW YORK","02/22/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - COLLEGE OF STATEN ISLAND","_002698","NY","STATEN ISLAND","05/09/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - EUGENIO MARIA DE HOSTOS COMMUNITY COLLEGE","_008611","NY","BRONX","06/27/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - FIORELLO H. LAGUARDIA COMMUNITY COLLEGE","_010051","NY","LONG ISLAND CITY","11/09/2001","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - GRADUATE SCHOOL AND UNIVERSITY CENTER","_004765","NY","NEW YORK","01/17/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - HERBERT H. LEHMAN COLLEGE","_007022","NY","BRONX","10/25/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - HUNTER COLLEGE","_002689","NY","NEW YORK","09/16/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - JOHN JAY COLLEGE OF CRIMINAL JUSTICE","_002693","NY","NEW YORK CITY","02/28/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - KINGSBOROUGH COMMUNITY COLLEGE","_002694","NY","BROOKLYN","11/22/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - MEDGAR EVERS COLLEGE","_010097","NY","BROOKLYN","11/18/2005","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - NEW YORK CITY COLLEGE OF TECHNOLOGY","_002696","NY","BROOKLYN","05/01/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - QUEENS COLLEGE","_002690","NY","FLUSHING","12/19/2001","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - QUEENSBOROUGH COMMUNITY COLLEGE","_002697","NY","BAYSIDE","03/27/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - SCHOOL OF LAW AT QUEENS COLLEGE","_031913","NY","FLUSHING","07/21/2009","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - THE GRADUATE CENTER","_004765","NY","NEW YORK","01/17/2002","$6.50","$5.00"
"THE CITY UNIVERSITY OF NEW YORK - YORK COLLEGE","_004759","NY","JAMAICA","04/04/2002","$6.50","$5.00"
"THE COLLEGE AT BROCKPORT, SUNY","_002841","NY","BROCKPORT","04/01/2005","$6.50","$5.00"
"THE COLLEGE AT NEW PALTZ","_002846","NY","NEW PALTZ","11/24/2008","$6.50","$5.00"
"THE COLLEGE OF NEW JERSEY","_002642","NJ","EWING","09/16/2002","$6.50","$5.00"
"THE COLLEGE OF ST. CATHERINE","_002342","MN","ST PAUL","05/19/2006","$6.50","$5.00"
"THE COLLEGE OF WILLIAM & MARY","_003705","VA","WILLIAMSBURG","05/19/2005","$6.50","$5.00"
"THE COMMUNITY COLLEGE OF BALTIMORE COUNTY","_002063","MD","BALTIMORE","05/31/2007","$6.50","$5.00"
"THE DEFIANCE COLLEGE","_003041","OH","DEFIANCE","06/07/2004","$6.50","$5.00"
"THE EVERGREEN STATE COLLEGE","_008155","WA","OLYMPIA","01/29/2004","$6.50","$5.00"
"THE FLORIDA STATE UNIVERSITY","_001489","FL","TALLAHASSEE","11/25/2008","$6.50","$5.00"
"THE FRANCISCAN UNIVERSITY OF THE PRAIRIES","_001881","IA","CLINTON","01/02/2008","$6.50","$5.00"
"THE GRADUATE CENTER","_004765","NY","NEW YORK","01/17/2002","$6.50","$5.00"
"THE GRADUATE COLLEGE OF UNION COLLEGE","_038813","NY","SCHENECTADY","10/28/2010","$10.00","$8.50"
"THE GREENVILLE EDUCATIONAL CENTER","_003991","SC","GREENVILLE","02/27/2007","$9.50","$8.00"
"THE JOHN MARSHALL LAW SCHOOL - CHICAGO","_001698","IL","CHICAGO","09/04/2008","$7.50","$6.00"
"THE KING'S COLLEGE","_040953","NY","NEW YORK","04/01/2009","$6.50","$5.00"
"THE METROPOLITAN STATE COLLEGE OF DENVER","_001360","CO","DENVER","01/16/2009","$6.50","$5.00"
"THE NEW SCHOOL","_020662","NY","NEW YORK","03/22/2004","$6.50","$5.00"
"THE OHIO STATE UNIVERSITY","_003090","OH","COLUMBUS","09/04/2008","$9.50","$8.00"
"THE SOUTHERN BAPTIST THEOLOGICAL SEMINARY","_001982","KY","LOUISVILLE","10/20/2005","$6.50","$5.00"
"THE STATE UNIVERSITY OF IOWA","_001892","IA","IOWA CITY","01/17/2002","$16.50","$15.00"
"THE STATE UNIVERSITY OF NEW YORK AT POTSDAM","_002850","NY","POTSDAM","03/28/2003","$6.50","$5.00"
"THE UNIVERSITY OF AKRON","_003123","OH","AKRON","04/28/2009","$6.50","$5.00"
"THE UNIVERSITY OF ALABAMA AT BIRMINGHAM","_001052","AL","BIRMINGHAM","10/12/2004","$6.50","$5.00"
"THE UNIVERSITY OF ALABAMA AT BIRMINGHAM, UAB SCHOOL OF DENTISTRY","_001052","AL","BIRMINGHAM","10/12/2004","$6.50","$5.00"
"THE UNIVERSITY OF ALABAMA AT BIRMINGHAM, UAB SCHOOL OF OPTOMETRY","_001052","AL","BIRMINGHAM","10/12/2004","$6.50","$5.00"
"THE UNIVERSITY OF ALABAMA AT BIRMINGHAM-UNIVERSITY OF ALABAMA SCHOOL OF MEDICINE","_001052","AL","BIRMINGHAM","10/12/2004","$6.50","$5.00"
"THE UNIVERSITY OF ALABAMA IN HUNTSVILLE","_001055","AL","HUNTSVILLE","09/23/2008","$8.50","$7.00"
"THE UNIVERSITY OF ARIZONA","_001083","AZ","TUCSON","08/28/2008","$10.50","$9.00"
"THE UNIVERSITY OF FINDLAY","_003045","OH","FINDLAY","10/26/2011","$6.50","$5.00"
"THE UNIVERSITY OF FLORIDA","_001535","FL","GAINESVILLE","03/19/2004","$12.00","$10.50"
"THE UNIVERSITY OF IOWA","_001892","IA","IOWA CITY","01/17/2002","$16.50","$15.00"
"THE UNIVERSITY OF LOUISIANA - MONROE","_002020","LA","MONROE","10/25/2004","$6.50","$5.00"
"THE UNIVERSITY OF MAINE","_002053","ME","ORONO","04/13/2004","$6.50","$5.00"
"THE UNIVERSITY OF MEMPHIS","_003509","TN","MEMPHIS","11/29/2001","$6.50","$5.00"
"THE UNIVERSITY OF MONTANA","_002536","MT","MISSOULA","12/19/2005","$6.50","$5.00"
"THE UNIVERSITY OF MONTANA WESTERN","_002537","MT","DILLON","10/23/2002","$6.50","$5.00"
"THE UNIVERSITY OF MONTANA-HELENA","_007570","MT","HELENA","10/18/2011","$6.50","$5.00"
"THE UNIVERSITY OF MONTANA-HELENA COLLEGE OF TECHNOLOGY","_007570","MT","HELENA","10/18/2011","$6.50","$5.00"
"THE UNIVERSITY OF NEW MEXICO","_002663","NM","ALBUQUERQUE","05/16/2002","$6.50","$5.00"
"THE UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE","_002907","NC","ASHEVILLE","09/29/2003","$6.50","$5.00"
"THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","_002974","NC","CHAPEL HILL","05/17/2010","$6.50","$5.00"
"THE UNIVERSITY OF SOUTHERN MISS","_002441","MS","HATTIESBURG","07/30/2009","$10.50","$9.00"
"THE UNIVERSITY OF TAMPA","_001538","FL","TAMPA","12/06/2005","$6.50","$5.00"
"THE UNIVERSITY OF TENNESSEE AT MARTIN","_003531","TN","MARTIN","12/09/2004","$6.50","$5.00"
"THE UNIVERSITY OF TEXAS AT ARLINGTON","_003656","TX","ARLINGTON","09/05/2008","$6.50","$5.00"
"THE UNIVERSITY OF TEXAS AT DALLAS","_009741","TX","RICHARDSON","08/20/2003","$6.50","$5.00"
"THE UNIVERSITY OF TEXAS AT EL PASO","_003661","TX","EL PASO","03/31/2004","$6.50","$5.00"
"THE UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON","_004952","TX","GALVESTON","05/26/2005","$6.50","$5.00"
"THE UNIVERSITY OF TEXAS-PAN AMERICAN","_003599","TX","EDINBURG","05/05/2010","$6.50","$5.00"
"THE UNIVERSITY OF THE ARTS","_003350","PA","PHILADELPHIA","11/29/2006","$6.50","$5.00"
"THE UNIVERSITY OF THE SOUTH","_003534","TN","SEWANEE","11/19/2003","$6.50","$5.00"
"THE UNIVERSITY OF TULSA","_003185","OK","TULSA","10/30/2008","$9.00","$7.50"
"THE UNIVERSITY OF WEST ALABAMA","_001024","AL","LIVINGSTON","06/22/2004","$6.50","$5.00"
"THE VICTORIA COLLEGE","_003662","TX","VICTORIA","07/17/2007","$6.50","$5.00"
"THEODORE ALFRED LAWSON STATE JUNIOR COLLEGE","_001059","AL","BIRMINGHAM","05/31/2007","$8.50","$7.00"
"THIEF RIVER FALLS TECHNICAL COLLEGE","_002385","MN","THIEF RIVER FALLS","09/06/2005","$6.50","$5.00"
"THOMAS JEFFERSON UNIVERSITY","_012393","PA","PHILADELPHIA","02/04/2010","$6.50","$5.00"
"THOMAS JEFFERSON UNIVERSITY GRADUATE STUDIES","_012393","PA","PHILADELPHIA","02/04/2010","$6.50","$5.00"
"THOMAS JEFFERSON UNIVERSITY MEDICAL","_012393","PA","PHILADELPHIA","02/04/2010","$6.50","$5.00"
"THOMAS M COOLEY LAW SCHOOL","_012627","MI","LANSING","05/04/2006","$6.50","$5.00"
"THOMAS MORE COLLEGE","_002001","KY","CRESTVIEW HILLS","06/28/2002","$6.50","$5.00"
"THOMAS NELSON COMMUNITY COLLEGE","_006871","VA","HAMPTON","06/16/2008","$6.50","$5.00"
"THOMPSON SCHOOL OF NURSING","_003698","VT","RANDOLPH CENTER","08/11/2009","$6.50","$5.00"
"THREE RIVERS COMMUNITY COLLEGE","_009765","CT","NORWICH","09/07/2001","$6.50","$5.00"
"THREE RIVERS COMMUNITY-TECHNICAL COLLEGE","_009765","CT","NORWICH","09/07/2001","$6.50","$5.00"
"THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT","_001070","AZ","GLENDALE","05/04/2004","$6.50","$5.00"
"THUNDERBIRD, THE AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MANAGEMENT","_001070","AZ","GLENDALE","05/04/2004","$6.50","$5.00"
"THUNDERBIRD, THE GARVIN SCHOOL OF INTERNATIONAL MANAGEMENT","_001070","AZ","GLENDALE","05/04/2004","$6.50","$5.00"
"TIDEWATER COMMUNITY COLLEGE","_003712","VA","NORFOLK","01/13/2009","$6.50","$5.00"
"TII","_003447","SC","SPARTANBURG","08/11/2010","$6.50","$5.00"
"TOCCOA FALLS BIBLE COLLEGE","_001596","GA","TOCCOA FALLS","09/06/2007","$6.50","$5.00"
"TOCCOA FALLS COLLEGE","_001596","GA","TOCCOA FALLS","09/06/2007","$6.50","$5.00"
"TOCCOA FALLS INSTITUTE","_001596","GA","TOCCOA FALLS","09/06/2007","$6.50","$5.00"
"TOMBALL COLLEGE","_011145","TX","HOUSTON","06/14/2011","$6.50","$5.00"
"TOMPKINS CORTLAND COMMUNITY COLLEGE","_006788","NY","DRYDEN","05/13/2004","$6.50","$5.00"
"TOURO COLLEGE","_010142","NY","NEW YORK","05/24/2004","$6.50","$5.00"
"TOWSON STATE COLLEGE","_002099","MD","TOWSON","10/19/2006","$6.50","$5.00"
"TOWSON STATE UNIVERSITY","_002099","MD","TOWSON","10/19/2006","$6.50","$5.00"
"TOWSON UNIVERSITY","_002099","MD","TOWSON","10/19/2006","$6.50","$5.00"
"TREASURE VALLEY COMMUNITY COLLEGE","_003221","OR","ONTARIO","06/15/2005","$6.50","$5.00"
"TRENTON JUNIOR COLLEGE","_002514","MO","TRENTON","01/15/2003","$6.50","$5.00"
"TRENTON STATE COLLEGE","_002642","NJ","EWING","09/16/2002","$6.50","$5.00"
"TRI-CITIES STATE TECHNICAL INSTITUTE","_005378","TN","BLOUNTVILLE","06/03/2010","$6.50","$5.00"
"TRI-COUNTY COMMUNITY COLLEGE","_009430","NC","MURPHY","12/20/2005","$6.50","$5.00"
"TRI-COUNTY TECHNICAL COLLEGE","_004926","SC","PENDLETON","07/22/2003","$6.50","$5.00"
"TRIDENT TECHNICAL COLLEGE","_004920","SC","CHARLESTON","03/05/2009","$6.50","$5.00"
"TRIDENT UNIVERSITY INTERNATIONAL","_041279","CA","CYPRESS","02/13/2009","$6.50","$5.00"
"TRINITY CHRISTIAN COLLEGE","_001771","IL","PALOS HEIGHTS","08/05/2011","$6.50","$5.00"
"TRINITY CHRISTIAN COLLEGE - PALOS HEIGHTS, IL","_001771","IL","PALOS HEIGHTS","08/05/2011","$6.50","$5.00"
"TRINITY COLLEGE OF VERMONT","_003694","VT","COLCHESTER","03/16/2010","$6.50","$5.00"
"TRITON COLLEGE","_001773","IL","RIVER GROVE","09/24/2009","$6.50","$5.00"
"TROCAIRE COLLEGE","_002812","NY","BUFFALO","03/03/2008","$6.50","$5.00"
"TROY UNIVERSITY","_001047","AL","TROY","08/01/2008","$9.50","$8.00"
"TRUCKEE MEADOWS CC","_021077","NV","RENO","05/25/2004","$6.50","$5.00"
"TRUCKEE MEADOWS COMMUNITY COLLEGE","_021077","NV","RENO","05/25/2004","$6.50","$5.00"
"TRUMAN COLLEGE - CITY COLLEGES OF CHICAGO","_001648","IL","CHICAGO","01/16/2007","$6.50","$5.00"
"TRUMAN STATE UNIVERSITY","_002495","MO","KIRKSVILLE","03/16/2007","$6.50","$5.00"
"TUFTS UNIVERSITY","_002219","MA","MEDFORD","05/02/2002","$6.50","$5.00"
"TUFTS UNIVERSITY FRIEDMAN SCHOOL OF NUTRITION SCIENCE AND POLICY","_002219","MA","MEDFORD","05/02/2002","$6.50","$5.00"
"TUFTS UNIVERSITY SCHOOL OF ARTS AND SCIENCES","_002219","MA","MEDFORD","05/02/2002","$6.50","$5.00"
"TUFTS UNIVERSITY SCHOOL OF ENGINEERING","_002219","MA","MEDFORD","05/02/2002","$6.50","$5.00"
"TUI UNIVERSITY","_041279","CA","CYPRESS","02/13/2009","$6.50","$5.00"
"TULANE UNIVERSITY","_002029","LA","NEW ORLEANS","04/16/2003","$6.50","$5.00"
"TULANE UNIVERSITY - SCHOOL OF MEDICINE","_002029","LA","NEW ORLEANS","04/16/2003","$6.50","$5.00"
"TULANE UNIVERSITY SCHOOL OF PUBLIC HEALTH & TROPICAL MEDICINE","_002029","LA","NEW ORLEANS","04/16/2003","$6.50","$5.00"
"TUNXIS COMMUNITY COLLEGE","_009764","CT","FARMINGTON","09/12/2001","$6.50","$5.00"
"TYLER JUNIOR COLLEGE","_003648","TX","TYLER","04/06/2011","$6.50","$5.00"
"UC MERCED","_041271","CA","MERCED","10/16/2008","$9.50","$8.00"
"UH-DOWNTOWN","_003612","TX","HOUSTON","12/16/2008","$6.50","$5.00"
